id;vendor;model;year;modification;lz;pcd;dia;bolt;create_time;description;id;carmodel;spectype;front_width;front_profile;front_diameter;back_width;back_profile;back_diameter;create_time
"19";"Acura";"CL";"1999";"2.3i YA1 (USDM)";"4";"114.300";"64.100";"nuts:12*1.5";"2020-10-21 14:05:24";"Alternative";"40";"19";"ALTERNATIVE";"205";"50";"17";\N;\N;\N;"2020-10-30 18:25:35"
"19";"Acura";"CL";"1999";"2.3i YA1 (USDM)";"4";"114.300";"64.100";"nuts:12*1.5";"2020-10-21 14:05:24";"Alternative";"41";"19";"ALTERNATIVE";"215";"45";"18";\N;\N;\N;"2020-10-30 18:25:35"
"20";"Acura";"CL";"1999";"3.0i YA1 (USDM)";"4";"114.300";"64.100";"nuts:12*1.5";"2020-10-21 14:05:24";"Alternative";"43";"20";"ALTERNATIVE";"225";"45";"17";\N;\N;\N;"2020-10-30 18:25:36"
"20";"Acura";"CL";"1999";"3.0i YA1 (USDM)";"4";"114.300";"64.100";"nuts:12*1.5";"2020-10-21 14:05:24";"Alternative";"44";"20";"ALTERNATIVE";"235";"40";"18";\N;\N;\N;"2020-10-30 18:25:36"
"21";"Acura";"CL";"2000";"2.3i YA1 (USDM)";"4";"114.300";"64.100";"nuts:12*1.5";"2020-10-21 14:05:24";"Alternative";"46";"21";"ALTERNATIVE";"205";"50";"17";\N;\N;\N;"2020-10-30 18:25:36"
"21";"Acura";"CL";"2000";"2.3i YA1 (USDM)";"4";"114.300";"64.100";"nuts:12*1.5";"2020-10-21 14:05:24";"Alternative";"47";"21";"ALTERNATIVE";"215";"45";"18";\N;\N;\N;"2020-10-30 18:25:36"
"22";"Acura";"CL";"2000";"3.0i YA1 (USDM)";"4";"114.300";"64.100";"nuts:12*1.5";"2020-10-21 14:05:24";"Alternative";"49";"22";"ALTERNATIVE";"225";"45";"17";\N;\N;\N;"2020-10-30 18:25:36"
"22";"Acura";"CL";"2000";"3.0i YA1 (USDM)";"4";"114.300";"64.100";"nuts:12*1.5";"2020-10-21 14:05:24";"Alternative";"50";"22";"ALTERNATIVE";"235";"40";"18";\N;\N;\N;"2020-10-30 18:25:36"
"23";"Acura";"CL Type-S";"2001";"3.2i YA4 (USDM)";"5";"114.300";"64.100";"nuts:12*1.5";"2020-10-21 14:05:24";"Alternative";"52";"23";"ALTERNATIVE";"225";"45";"18";\N;\N;\N;"2020-10-30 18:25:36"
"23";"Acura";"CL Type-S";"2001";"3.2i YA4 (USDM)";"5";"114.300";"64.100";"nuts:12*1.5";"2020-10-21 14:05:24";"Alternative";"53";"23";"ALTERNATIVE";"235";"40";"18";\N;\N;\N;"2020-10-30 18:25:36"
"24";"Acura";"CL Type-S";"2002";"3.2i YA4 (USDM)";"5";"114.300";"64.100";"nuts:12*1.5";"2020-10-21 14:05:24";"Alternative";"55";"24";"ALTERNATIVE";"225";"45";"18";\N;\N;\N;"2020-10-30 18:25:36"
"24";"Acura";"CL Type-S";"2002";"3.2i YA4 (USDM)";"5";"114.300";"64.100";"nuts:12*1.5";"2020-10-21 14:05:24";"Alternative";"56";"24";"ALTERNATIVE";"235";"40";"18";\N;\N;\N;"2020-10-30 18:25:36"
"25";"Acura";"CL Type-S";"2003";"3.2i YA4 (USDM)";"5";"114.300";"64.100";"nuts:12*1.5";"2020-10-21 14:05:24";"Alternative";"58";"25";"ALTERNATIVE";"225";"45";"18";\N;\N;\N;"2020-10-30 18:25:36"
"25";"Acura";"CL Type-S";"2003";"3.2i YA4 (USDM)";"5";"114.300";"64.100";"nuts:12*1.5";"2020-10-21 14:05:24";"Alternative";"59";"25";"ALTERNATIVE";"235";"40";"18";\N;\N;\N;"2020-10-30 18:25:36"
"26";"Acura";"CSX";"2005";"2.0i FD (USDM)";"5";"114.300";"64.100";"nuts:12*1.5";"2020-10-21 14:05:24";"Alternative";"61";"26";"ALTERNATIVE";"205";"50";"17";\N;\N;\N;"2020-10-30 18:25:36"
"26";"Acura";"CSX";"2005";"2.0i FD (USDM)";"5";"114.300";"64.100";"nuts:12*1.5";"2020-10-21 14:05:24";"Alternative";"62";"26";"ALTERNATIVE";"225";"45";"17";\N;\N;\N;"2020-10-30 18:25:36"
"27";"Acura";"CSX";"2006";"2.0i FD (USDM)";"5";"114.300";"64.100";"nuts:12*1.5";"2020-10-21 14:05:24";"Alternative";"64";"27";"ALTERNATIVE";"205";"50";"17";\N;\N;\N;"2020-10-30 18:25:36"
"27";"Acura";"CSX";"2006";"2.0i FD (USDM)";"5";"114.300";"64.100";"nuts:12*1.5";"2020-10-21 14:05:24";"Alternative";"65";"27";"ALTERNATIVE";"225";"45";"17";\N;\N;\N;"2020-10-30 18:25:36"
"28";"Acura";"CSX";"2006";"2.0i TypeS FD (USDM)";"5";"114.300";"64.100";"nuts:12*1.5";"2020-10-21 14:05:24";"Alternative";"67";"28";"ALTERNATIVE";"225";"45";"17";\N;\N;\N;"2020-10-30 18:25:36"
"28";"Acura";"CSX";"2006";"2.0i TypeS FD (USDM)";"5";"114.300";"64.100";"nuts:12*1.5";"2020-10-21 14:05:24";"Alternative";"68";"28";"ALTERNATIVE";"225";"40";"18";\N;\N;\N;"2020-10-30 18:25:36"
"29";"Acura";"CSX";"2007";"2.0i FD (USDM)";"5";"114.300";"64.100";"nuts:12*1.5";"2020-10-21 14:05:24";"Alternative";"70";"29";"ALTERNATIVE";"205";"50";"17";\N;\N;\N;"2020-10-30 18:25:36"
"29";"Acura";"CSX";"2007";"2.0i FD (USDM)";"5";"114.300";"64.100";"nuts:12*1.5";"2020-10-21 14:05:24";"Alternative";"71";"29";"ALTERNATIVE";"225";"45";"17";\N;\N;\N;"2020-10-30 18:25:36"
"30";"Acura";"CSX";"2007";"2.0i TypeS FD (USDM)";"5";"114.300";"64.100";"nuts:12*1.5";"2020-10-21 14:05:24";"Alternative";"73";"30";"ALTERNATIVE";"225";"45";"17";\N;\N;\N;"2020-10-30 18:25:36"
"30";"Acura";"CSX";"2007";"2.0i TypeS FD (USDM)";"5";"114.300";"64.100";"nuts:12*1.5";"2020-10-21 14:05:24";"Alternative";"74";"30";"ALTERNATIVE";"225";"40";"18";\N;\N;\N;"2020-10-30 18:25:36"
"31";"Acura";"CSX";"2008";"2.0i FD (USDM)";"5";"114.300";"64.100";"nuts:12*1.5";"2020-10-21 14:05:24";"Alternative";"76";"31";"ALTERNATIVE";"205";"50";"17";\N;\N;\N;"2020-10-30 18:25:36"
"31";"Acura";"CSX";"2008";"2.0i FD (USDM)";"5";"114.300";"64.100";"nuts:12*1.5";"2020-10-21 14:05:24";"Alternative";"77";"31";"ALTERNATIVE";"225";"45";"17";\N;\N;\N;"2020-10-30 18:25:36"
"32";"Acura";"CSX";"2008";"2.0i TypeS FD (USDM)";"5";"114.300";"64.100";"nuts:12*1.5";"2020-10-21 14:05:24";"Alternative";"79";"32";"ALTERNATIVE";"225";"45";"17";\N;\N;\N;"2020-10-30 18:25:36"
"32";"Acura";"CSX";"2008";"2.0i TypeS FD (USDM)";"5";"114.300";"64.100";"nuts:12*1.5";"2020-10-21 14:05:24";"Alternative";"80";"32";"ALTERNATIVE";"225";"40";"18";\N;\N;\N;"2020-10-30 18:25:36"
"33";"Acura";"CSX";"2009";"2.0i FD (USDM)";"5";"114.300";"64.100";"nuts:12*1.5";"2020-10-21 14:05:24";"Alternative";"82";"33";"ALTERNATIVE";"205";"50";"17";\N;\N;\N;"2020-10-30 18:25:36"
"33";"Acura";"CSX";"2009";"2.0i FD (USDM)";"5";"114.300";"64.100";"nuts:12*1.5";"2020-10-21 14:05:24";"Alternative";"83";"33";"ALTERNATIVE";"225";"45";"17";\N;\N;\N;"2020-10-30 18:25:36"
"34";"Acura";"CSX";"2009";"2.0i TypeS FD (USDM)";"5";"114.300";"64.100";"nuts:12*1.5";"2020-10-21 14:05:24";"Alternative";"85";"34";"ALTERNATIVE";"225";"45";"17";\N;\N;\N;"2020-10-30 18:25:36"
"34";"Acura";"CSX";"2009";"2.0i TypeS FD (USDM)";"5";"114.300";"64.100";"nuts:12*1.5";"2020-10-21 14:05:24";"Alternative";"86";"34";"ALTERNATIVE";"225";"40";"18";\N;\N;\N;"2020-10-30 18:25:36"
"35";"Acura";"CSX";"2010";"2.0i FD (USDM)";"5";"114.300";"64.100";"nuts:12*1.5";"2020-10-21 14:05:24";"Alternative";"88";"35";"ALTERNATIVE";"205";"50";"17";\N;\N;\N;"2020-10-30 18:25:36"
"35";"Acura";"CSX";"2010";"2.0i FD (USDM)";"5";"114.300";"64.100";"nuts:12*1.5";"2020-10-21 14:05:24";"Alternative";"89";"35";"ALTERNATIVE";"225";"45";"17";\N;\N;\N;"2020-10-30 18:25:36"
"36";"Acura";"CSX";"2010";"2.0i TypeS FD (USDM)";"5";"114.300";"64.100";"nuts:12*1.5";"2020-10-21 14:05:24";"Alternative";"91";"36";"ALTERNATIVE";"225";"45";"17";\N;\N;\N;"2020-10-30 18:25:36"
"36";"Acura";"CSX";"2010";"2.0i TypeS FD (USDM)";"5";"114.300";"64.100";"nuts:12*1.5";"2020-10-21 14:05:24";"Alternative";"92";"36";"ALTERNATIVE";"225";"40";"18";\N;\N;\N;"2020-10-30 18:25:36"
"37";"Acura";"CSX";"2011";"2.0i FD (USDM)";"5";"114.300";"64.100";"nuts:12*1.5";"2020-10-21 14:05:24";"Alternative";"94";"37";"ALTERNATIVE";"205";"50";"17";\N;\N;\N;"2020-10-30 18:25:36"
"37";"Acura";"CSX";"2011";"2.0i FD (USDM)";"5";"114.300";"64.100";"nuts:12*1.5";"2020-10-21 14:05:24";"Alternative";"95";"37";"ALTERNATIVE";"225";"45";"17";\N;\N;\N;"2020-10-30 18:25:36"
"38";"Acura";"CSX";"2011";"2.0i TypeS FD (USDM)";"5";"114.300";"64.100";"nuts:12*1.5";"2020-10-21 14:05:24";"Alternative";"97";"38";"ALTERNATIVE";"225";"45";"17";\N;\N;\N;"2020-10-30 18:25:36"
"38";"Acura";"CSX";"2011";"2.0i TypeS FD (USDM)";"5";"114.300";"64.100";"nuts:12*1.5";"2020-10-21 14:05:24";"Alternative";"98";"38";"ALTERNATIVE";"225";"40";"18";\N;\N;\N;"2020-10-30 18:25:36"
"39";"Acura";"EL";"2001";"1.7i ES (USDM)";"4";"100.000";"56.100";"nuts:12*1.5";"2020-10-21 14:05:24";"Alternative";"100";"39";"ALTERNATIVE";"205";"50";"16";\N;\N;\N;"2020-10-30 18:25:36"
"39";"Acura";"EL";"2001";"1.7i ES (USDM)";"4";"100.000";"56.100";"nuts:12*1.5";"2020-10-21 14:05:24";"Alternative";"101";"39";"ALTERNATIVE";"205";"45";"17";\N;\N;\N;"2020-10-30 18:25:36"
"40";"Acura";"EL";"2002";"1.7i ES (USDM)";"4";"100.000";"56.100";"nuts:12*1.5";"2020-10-21 14:05:24";"Alternative";"103";"40";"ALTERNATIVE";"205";"50";"16";\N;\N;\N;"2020-10-30 18:25:36"
"40";"Acura";"EL";"2002";"1.7i ES (USDM)";"4";"100.000";"56.100";"nuts:12*1.5";"2020-10-21 14:05:24";"Alternative";"104";"40";"ALTERNATIVE";"205";"45";"17";\N;\N;\N;"2020-10-30 18:25:36"
"41";"Acura";"EL";"2003";"1.7i ES (USDM)";"4";"100.000";"56.100";"nuts:12*1.5";"2020-10-21 14:05:24";"Alternative";"106";"41";"ALTERNATIVE";"205";"50";"16";\N;\N;\N;"2020-10-30 18:25:36"
"41";"Acura";"EL";"2003";"1.7i ES (USDM)";"4";"100.000";"56.100";"nuts:12*1.5";"2020-10-21 14:05:24";"Alternative";"107";"41";"ALTERNATIVE";"205";"45";"17";\N;\N;\N;"2020-10-30 18:25:36"
"42";"Acura";"EL";"2004";"1.7i ES (USDM)";"4";"100.000";"56.100";"nuts:12*1.5";"2020-10-21 14:05:25";"Alternative";"109";"42";"ALTERNATIVE";"205";"50";"16";\N;\N;\N;"2020-10-30 18:25:36"
"42";"Acura";"EL";"2004";"1.7i ES (USDM)";"4";"100.000";"56.100";"nuts:12*1.5";"2020-10-21 14:05:25";"Alternative";"110";"42";"ALTERNATIVE";"205";"45";"17";\N;\N;\N;"2020-10-30 18:25:36"
"43";"Acura";"EL";"2005";"1.7i ES (USDM)";"4";"100.000";"56.100";"nuts:12*1.5";"2020-10-21 14:05:25";"Alternative";"112";"43";"ALTERNATIVE";"205";"50";"16";\N;\N;\N;"2020-10-30 18:25:36"
"43";"Acura";"EL";"2005";"1.7i ES (USDM)";"4";"100.000";"56.100";"nuts:12*1.5";"2020-10-21 14:05:25";"Alternative";"113";"43";"ALTERNATIVE";"205";"45";"17";\N;\N;\N;"2020-10-30 18:25:36"
"44";"Acura";"EL";"1997";"1.6i MB (USDM)";"4";"100.000";"56.100";"nuts:12*1.5";"2020-10-21 14:05:25";"Alternative";"115";"44";"ALTERNATIVE";"205";"50";"16";\N;\N;\N;"2020-10-30 18:25:36"
"44";"Acura";"EL";"1997";"1.6i MB (USDM)";"4";"100.000";"56.100";"nuts:12*1.5";"2020-10-21 14:05:25";"Alternative";"116";"44";"ALTERNATIVE";"205";"45";"17";\N;\N;\N;"2020-10-30 18:25:36"
"45";"Acura";"EL";"1998";"1.6i MB (USDM)";"4";"100.000";"56.100";"nuts:12*1.5";"2020-10-21 14:05:25";"Alternative";"118";"45";"ALTERNATIVE";"205";"50";"16";\N;\N;\N;"2020-10-30 18:25:36"
"45";"Acura";"EL";"1998";"1.6i MB (USDM)";"4";"100.000";"56.100";"nuts:12*1.5";"2020-10-21 14:05:25";"Alternative";"119";"45";"ALTERNATIVE";"205";"45";"17";\N;\N;\N;"2020-10-30 18:25:36"
"46";"Acura";"EL";"1999";"1.6i MB (USDM)";"4";"100.000";"56.100";"nuts:12*1.5";"2020-10-21 14:05:25";"Alternative";"121";"46";"ALTERNATIVE";"205";"50";"16";\N;\N;\N;"2020-10-30 18:25:36"
"46";"Acura";"EL";"1999";"1.6i MB (USDM)";"4";"100.000";"56.100";"nuts:12*1.5";"2020-10-21 14:05:25";"Alternative";"122";"46";"ALTERNATIVE";"205";"45";"17";\N;\N;\N;"2020-10-30 18:25:36"
"47";"Acura";"EL";"2000";"1.6i MB (USDM)";"4";"100.000";"56.100";"nuts:12*1.5";"2020-10-21 14:05:25";"Alternative";"124";"47";"ALTERNATIVE";"205";"50";"16";\N;\N;\N;"2020-10-30 18:25:36"
"47";"Acura";"EL";"2000";"1.6i MB (USDM)";"4";"100.000";"56.100";"nuts:12*1.5";"2020-10-21 14:05:25";"Alternative";"125";"47";"ALTERNATIVE";"205";"45";"17";\N;\N;\N;"2020-10-30 18:25:36"
"48";"Acura";"ILX";"2019";"2.4i DE Facelift (USDM)";"5";"114.300";"64.100";"nuts:12*1.5";"2020-10-21 14:05:25";"Alternative";"127";"48";"ALTERNATIVE";"225";"40";"18";\N;\N;\N;"2020-10-30 18:25:36"
"48";"Acura";"ILX";"2019";"2.4i DE Facelift (USDM)";"5";"114.300";"64.100";"nuts:12*1.5";"2020-10-21 14:05:25";"Alternative";"128";"48";"ALTERNATIVE";"245";"35";"18";\N;\N;\N;"2020-10-30 18:25:36"
"49";"Acura";"ILX";"2020";"2.4i DE Facelift (USDM)";"5";"114.300";"64.100";"nuts:12*1.5";"2020-10-21 14:05:25";"Alternative";"130";"49";"ALTERNATIVE";"225";"40";"18";\N;\N;\N;"2020-10-30 18:25:36"
"49";"Acura";"ILX";"2020";"2.4i DE Facelift (USDM)";"5";"114.300";"64.100";"nuts:12*1.5";"2020-10-21 14:05:25";"Alternative";"131";"49";"ALTERNATIVE";"245";"35";"18";\N;\N;\N;"2020-10-30 18:25:36"
"50";"Acura";"ILX";"2016";"2.4i DE Facelift (USDM)";"5";"114.300";"64.100";"nuts:12*1.5";"2020-10-21 14:05:25";"Alternative";"133";"50";"ALTERNATIVE";"225";"40";"18";\N;\N;\N;"2020-10-30 18:25:36"
"50";"Acura";"ILX";"2016";"2.4i DE Facelift (USDM)";"5";"114.300";"64.100";"nuts:12*1.5";"2020-10-21 14:05:25";"Alternative";"134";"50";"ALTERNATIVE";"245";"35";"18";\N;\N;\N;"2020-10-30 18:25:36"
"51";"Acura";"ILX";"2017";"2.4i DE Facelift (USDM)";"5";"114.300";"64.100";"nuts:12*1.5";"2020-10-21 14:05:25";"Alternative";"136";"51";"ALTERNATIVE";"225";"40";"18";\N;\N;\N;"2020-10-30 18:25:36"
"51";"Acura";"ILX";"2017";"2.4i DE Facelift (USDM)";"5";"114.300";"64.100";"nuts:12*1.5";"2020-10-21 14:05:25";"Alternative";"137";"51";"ALTERNATIVE";"245";"35";"18";\N;\N;\N;"2020-10-30 18:25:36"
"52";"Acura";"ILX";"2018";"2.4i DE Facelift (USDM)";"5";"114.300";"64.100";"nuts:12*1.5";"2020-10-21 14:05:25";"Alternative";"139";"52";"ALTERNATIVE";"225";"40";"18";\N;\N;\N;"2020-10-30 18:25:36"
"52";"Acura";"ILX";"2018";"2.4i DE Facelift (USDM)";"5";"114.300";"64.100";"nuts:12*1.5";"2020-10-21 14:05:25";"Alternative";"140";"52";"ALTERNATIVE";"245";"35";"18";\N;\N;\N;"2020-10-30 18:25:36"
"53";"Acura";"ILX";"2012";"1.5H DE (USDM)";"5";"114.300";"64.100";"nuts:12*1.5";"2020-10-21 14:05:25";"Alternative";"142";"53";"ALTERNATIVE";"205";"50";"17";\N;\N;\N;"2020-10-30 18:25:36"
"53";"Acura";"ILX";"2012";"1.5H DE (USDM)";"5";"114.300";"64.100";"nuts:12*1.5";"2020-10-21 14:05:25";"Alternative";"143";"53";"ALTERNATIVE";"205";"45";"18";\N;\N;\N;"2020-10-30 18:25:36"
"54";"Acura";"ILX";"2012";"2.0i DE (USDM)";"5";"114.300";"64.100";"nuts:12*1.5";"2020-10-21 14:05:25";"Alternative";"145";"54";"ALTERNATIVE";"215";"45";"17";\N;\N;\N;"2020-10-30 18:25:36"
"54";"Acura";"ILX";"2012";"2.0i DE (USDM)";"5";"114.300";"64.100";"nuts:12*1.5";"2020-10-21 14:05:25";"Alternative";"146";"54";"ALTERNATIVE";"225";"45";"17";\N;\N;\N;"2020-10-30 18:25:36"
"55";"Acura";"ILX";"2012";"2.4i DE (USDM)";"5";"114.300";"64.100";"nuts:12*1.5";"2020-10-21 14:05:25";"Alternative";"148";"55";"ALTERNATIVE";"225";"40";"18";\N;\N;\N;"2020-10-30 18:25:36"
"55";"Acura";"ILX";"2012";"2.4i DE (USDM)";"5";"114.300";"64.100";"nuts:12*1.5";"2020-10-21 14:05:25";"Alternative";"149";"55";"ALTERNATIVE";"245";"35";"18";\N;\N;\N;"2020-10-30 18:25:36"
"56";"Acura";"ILX";"2013";"1.5H DE (USDM)";"5";"114.300";"64.100";"nuts:12*1.5";"2020-10-21 14:05:25";"Alternative";"151";"56";"ALTERNATIVE";"205";"50";"17";\N;\N;\N;"2020-10-30 18:25:36"
"56";"Acura";"ILX";"2013";"1.5H DE (USDM)";"5";"114.300";"64.100";"nuts:12*1.5";"2020-10-21 14:05:25";"Alternative";"152";"56";"ALTERNATIVE";"205";"45";"18";\N;\N;\N;"2020-10-30 18:25:36"
"57";"Acura";"ILX";"2013";"2.0i DE (USDM)";"5";"114.300";"64.100";"nuts:12*1.5";"2020-10-21 14:05:25";"Alternative";"154";"57";"ALTERNATIVE";"215";"45";"17";\N;\N;\N;"2020-10-30 18:25:36"
"57";"Acura";"ILX";"2013";"2.0i DE (USDM)";"5";"114.300";"64.100";"nuts:12*1.5";"2020-10-21 14:05:25";"Alternative";"155";"57";"ALTERNATIVE";"225";"45";"17";\N;\N;\N;"2020-10-30 18:25:36"
"58";"Acura";"ILX";"2013";"2.4i DE (USDM)";"5";"114.300";"64.100";"nuts:12*1.5";"2020-10-21 14:05:25";"Alternative";"157";"58";"ALTERNATIVE";"225";"40";"18";\N;\N;\N;"2020-10-30 18:25:36"
"58";"Acura";"ILX";"2013";"2.4i DE (USDM)";"5";"114.300";"64.100";"nuts:12*1.5";"2020-10-21 14:05:25";"Alternative";"158";"58";"ALTERNATIVE";"245";"35";"18";\N;\N;\N;"2020-10-30 18:25:36"
"59";"Acura";"ILX";"2014";"1.5H DE (USDM)";"5";"114.300";"64.100";"nuts:12*1.5";"2020-10-21 14:05:25";"Alternative";"160";"59";"ALTERNATIVE";"205";"50";"17";\N;\N;\N;"2020-10-30 18:25:36"
"59";"Acura";"ILX";"2014";"1.5H DE (USDM)";"5";"114.300";"64.100";"nuts:12*1.5";"2020-10-21 14:05:25";"Alternative";"161";"59";"ALTERNATIVE";"205";"45";"18";\N;\N;\N;"2020-10-30 18:25:36"
"60";"Acura";"ILX";"2014";"2.0i DE (USDM)";"5";"114.300";"64.100";"nuts:12*1.5";"2020-10-21 14:05:25";"Alternative";"163";"60";"ALTERNATIVE";"215";"45";"17";\N;\N;\N;"2020-10-30 18:25:36"
"60";"Acura";"ILX";"2014";"2.0i DE (USDM)";"5";"114.300";"64.100";"nuts:12*1.5";"2020-10-21 14:05:25";"Alternative";"164";"60";"ALTERNATIVE";"225";"45";"17";\N;\N;\N;"2020-10-30 18:25:36"
"61";"Acura";"ILX";"2014";"2.4i DE (USDM)";"5";"114.300";"64.100";"nuts:12*1.5";"2020-10-21 14:05:25";"Alternative";"166";"61";"ALTERNATIVE";"225";"40";"18";\N;\N;\N;"2020-10-30 18:25:36"
"61";"Acura";"ILX";"2014";"2.4i DE (USDM)";"5";"114.300";"64.100";"nuts:12*1.5";"2020-10-21 14:05:25";"Alternative";"167";"61";"ALTERNATIVE";"245";"35";"18";\N;\N;\N;"2020-10-30 18:25:36"
"62";"Acura";"ILX";"2015";"1.5H DE (USDM)";"5";"114.300";"64.100";"nuts:12*1.5";"2020-10-21 14:05:25";"Alternative";"169";"62";"ALTERNATIVE";"205";"50";"17";\N;\N;\N;"2020-10-30 18:25:36"
"62";"Acura";"ILX";"2015";"1.5H DE (USDM)";"5";"114.300";"64.100";"nuts:12*1.5";"2020-10-21 14:05:25";"Alternative";"170";"62";"ALTERNATIVE";"205";"45";"18";\N;\N;\N;"2020-10-30 18:25:36"
"63";"Acura";"ILX";"2015";"2.0i DE (USDM)";"5";"114.300";"64.100";"nuts:12*1.5";"2020-10-21 14:05:25";"Alternative";"172";"63";"ALTERNATIVE";"215";"45";"17";\N;\N;\N;"2020-10-30 18:25:36"
"63";"Acura";"ILX";"2015";"2.0i DE (USDM)";"5";"114.300";"64.100";"nuts:12*1.5";"2020-10-21 14:05:25";"Alternative";"173";"63";"ALTERNATIVE";"225";"45";"17";\N;\N;\N;"2020-10-30 18:25:36"
